"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Oct 2023 12:19:09.244,1 Oct 2023 12:25:08.163,358.918
1 Oct 2023 12:19:09.244,1 Oct 2023 12:25:08.163,358.918
1 Oct 2023 12:20:02.079,1 Oct 2023 12:28:01.851,479.772
1 Oct 2023 12:20:34.125,1 Oct 2023 12:24:19.431,225.306
1 Oct 2023 12:21:05.452,1 Oct 2023 12:27:54.815,409.363
1 Oct 2023 12:21:30.936,1 Oct 2023 12:23:12.624,101.689
1 Oct 2023 12:23:21.529,1 Oct 2023 12:30:25.800,424.270
1 Oct 2023 12:23:48.691,1 Oct 2023 12:25:42.890,114.199
1 Oct 2023 12:24:21.220,1 Oct 2023 12:31:11.029,409.809
1 Oct 2023 12:25:30.888,1 Oct 2023 12:33:46.593,495.705
1 Oct 2023 12:26:26.379,1 Oct 2023 12:31:38.751,312.373
1 Oct 2023 12:27:38.236,1 Oct 2023 12:34:45.216,426.980
1 Oct 2023 12:29:02.179,1 Oct 2023 12:37:21.050,498.870
1 Oct 2023 12:29:12.980,1 Oct 2023 12:35:53.562,400.583
1 Oct 2023 12:30:10.094,1 Oct 2023 12:38:00.592,470.498
1 Oct 2023 12:30:39.798,1 Oct 2023 12:38:29.286,469.489
1 Oct 2023 12:30:42.245,1 Oct 2023 12:38:11.443,449.197
1 Oct 2023 12:31:02.418,1 Oct 2023 12:39:09.798,487.381
1 Oct 2023 12:31:41.355,1 Oct 2023 12:36:17.949,276.594
1 Oct 2023 12:32:11.622,1 Oct 2023 12:40:34.019,502.397
1 Oct 2023 12:33:29.854,1 Oct 2023 12:37:29.440,239.586
1 Oct 2023 12:33:46.317,1 Oct 2023 12:41:32.116,465.798
1 Oct 2023 12:34:46.932,1 Oct 2023 12:42:28.209,461.277
1 Oct 2023 12:35:11.148,1 Oct 2023 12:40:53.045,341.897
1 Oct 2023 12:36:46.217,1 Oct 2023 12:42:54.658,368.441
1 Oct 2023 12:39:42.404,1 Oct 2023 12:47:36.777,474.373
1 Oct 2023 12:40:07.532,1 Oct 2023 12:45:16.188,308.656
1 Oct 2023 12:41:48.686,1 Oct 2023 12:48:21.887,393.201
1 Oct 2023 12:42:13.598,1 Oct 2023 12:50:02.660,469.062
1 Oct 2023 12:42:36.433,1 Oct 2023 12:49:19.409,402.976
1 Oct 2023 12:42:36.433,1 Oct 2023 12:49:19.409,402.976
1 Oct 2023 12:42:48.315,1 Oct 2023 12:49:34.275,405.960
